"","x"
"1",43
"2",180
"3",317
"4",237
"5",77
"6",328
"7",36
"8",13
"9",319
"10",143
"11",116
"12",106
"13",105
"14",62
"15",350
"16",355
"17",302
"18",88
"19",364
"20",108
"21",266
"22",149
"23",352
"24",365
"25",233
"26",226
"27",259
"28",272
"29",262
"30",274
"31",128
"32",134
"33",10
"34",375
"35",72
"36",94
"37",335
"38",135
"39",40
"40",85
"41",315
"42",30
"43",198
"44",318
"45",67
"46",4
"47",16
"48",213
"49",210
"50",46
"51",33
"52",12
"53",219
"54",347
"55",234
"56",342
"57",301
"58",354
"59",66
"60",229
"61",228
"62",359
"63",230
"64",279
"65",38
"66",170
"67",281
"68",338
"69",114
"70",218
"71",127
"72",197
"73",41
"74",115
"75",53
"76",217
"77",168
"78",103
"79",91
"80",122
"81",322
"82",195
"83",286
"84",214
"85",358
"86",152
"87",222
"88",253
"89",240
"90",209
"91",49
"92",314
"93",373
"94",140
"95",305
"96",353
"97",64
"98",372
"99",201
"100",311
"101",232
"102",23
"103",39
"104",47
"105",325
"106",196
"107",156
"108",76
"109",93
"110",385
"111",379
"112",357
"113",249
"114",258
"115",80
"116",296
"117",79
"118",163
"119",55
"120",265
"121",203
"122",340
"123",273
"124",308
"125",243
"126",307
"127",182
"128",277
"129",300
"130",11
"131",70
"132",183
"133",147
"134",42
"135",118
"136",181
"137",44
"138",368
"139",102
"140",162
"141",129
"142",17
"143",24
"144",382
"145",51
"146",131
"147",90
"148",37
"149",185
"150",144
"151",29
"152",344
"153",271
"154",312
"155",304
"156",151
"157",113
"158",348
"159",383
"160",145
"161",27
"162",56
"163",351
"164",190
"165",193
"166",334
"167",370
"168",260
"169",208
"170",83
"171",139
"172",290
"173",330
"174",48
"175",1
"176",68
"177",250
"178",251
"179",285
"180",175
"181",14
"182",61
"183",303
"184",333
"185",245
"186",34
"187",186
"188",247
"189",199
"190",235
"191",356
"192",5
"193",142
"194",367
"195",86
"196",65
"197",169
"198",216
"199",239
"200",25
"201",295
"202",341
"203",154
"204",289
"205",231
"206",238
"207",159
"208",278
"209",361
"210",96
"211",2
"212",95
"213",111
"214",119
"215",189
"216",74
"217",19
"218",35
"219",166
"220",299
"221",270
"222",306
"223",107
"224",349
"225",369
"226",100
"227",97
"228",104
"229",87
"230",92
"231",21
"232",321
"233",269
"234",138
"235",28
"236",293
"237",50
"238",324
"239",294
"240",345
"241",316
"242",164
"243",188
"244",176
"245",280
"246",276
"247",223
"248",284
"249",376
"250",225
"251",82
"252",211
"253",264
"254",194
"255",125
"256",73
"257",287
"258",112
"259",227
"260",380
"261",101
"262",7
"263",297
"264",57
"265",137
"266",327
"267",179
"268",363
"269",109
"270",288
"271",323
"272",346
"273",132
"274",84
"275",8
"276",200
"277",268
"278",309
"279",298
"280",160
"281",384
"282",18
"283",15
"284",148
"285",366
"286",377
"287",136
"288",22
"289",26
"290",252
"291",374
"292",381
"293",282
"294",386
"295",52
"296",89
"297",257
"298",150
"299",78
"300",207
"301",63
"302",121
"303",174
"304",292
"305",263
"306",177
"307",255
"308",158
"309",246
"310",117
"311",155
"312",130
"313",123
"314",378
"315",191
"316",248
"317",32
"318",275
"319",204
"320",120
"321",81
"322",337
"323",332
"324",336
"325",31
"326",256
"327",202
"328",242
"329",212
"330",362
"331",339
"332",59
"333",99
"334",75
"335",161
"336",60
"337",98
"338",45
"339",326
"340",58
"341",172
"342",3
"343",291
"344",187
"345",71
"346",192
"347",331
"348",20
"349",184
"350",153
"351",205
"352",215
"353",261
"354",343
"355",221
"356",133
"357",310
"358",146
"359",283
"360",124
"361",157
"362",167
"363",165
"364",171
"365",141
"366",224
"367",9
"368",360
"369",178
"370",267
"371",173
"372",110
"373",206
"374",241
"375",320
"376",126
"377",54
"378",371
"379",313
"380",329
"381",244
"382",254
"383",69
"384",220
"385",6
"386",236
