"","names","color","fac","model"
"C.0.FOS","C.0.FOS","Increased in Healthy",4,"Adult LS vs Healthy"
"C.0.HES1","C.0.HES1","Increased in Healthy",4,"Adult LS vs Healthy"
"C.0.ATF3","C.0.ATF3","Increased in Healthy",4,"Adult LS vs Healthy"
"C.0.JUN","C.0.JUN","Increased in Healthy",4,"Adult LS vs Healthy"
"C.0.JUND","C.0.JUND","Increased In LS",4,"Adult LS vs Healthy"
"C.0.KRT2","C.0.KRT2","Increased In LS",4,"Adult LS vs Healthy"
"C.0.FOSB","C.0.FOSB","Increased In LS",4,"Adult LS vs Healthy"
"C.0.EGR1","C.0.EGR1","Increased in Healthy",4,"Adult LS vs Healthy"
"C.0.ZFP36","C.0.ZFP36","Increased in Healthy",4,"Adult LS vs Healthy"
"C.0.SBSN","C.0.SBSN","Increased In LS",4,"Adult LS vs Healthy"
"C.27.CLIC1","C.27.CLIC1","Increased In LS",4,"Adult LS vs Healthy"
"C.27.LMNA","C.27.LMNA","Increased In LS",4,"Adult LS vs Healthy"
"C.27.PRDX1","C.27.PRDX1","Increased In LS",4,"Adult LS vs Healthy"
"C.16.ZFP36L1","C.16.ZFP36L1","Increased In LS",4,"Adult LS vs Healthy"
"C.16.CXCL8","C.16.CXCL8","Increased In LS",4,"Adult LS vs Healthy"
"C.16.GPR183","C.16.GPR183","Increased In LS",4,"Adult LS vs Healthy"
"C.27.UBB","C.27.UBB","Increased In LS",4,"Adult LS vs Healthy"
"C.16.CTSL","C.16.CTSL","Increased In LS",4,"Adult LS vs Healthy"
"C.27.SRGN","C.27.SRGN","Increased In LS",4,"Adult LS vs Healthy"
"C.27.MYL6","C.27.MYL6","Increased In LS",4,"Adult LS vs Healthy"
"C.3.TRBC2","C.3.TRBC2","Increased In LS",5,"Adult LS vs Healthy"
"C.20.H3F3A","C.20.H3F3A","Increased In LS",5,"Adult LS vs Healthy"
"C.30.ID3","C.30.ID3","Increased in Healthy",5,"Adult LS vs Healthy"
"C.30.SFN","C.30.SFN","Increased in Healthy",5,"Adult LS vs Healthy"
"C.15.FABP5","C.15.FABP5","Increased in Healthy",5,"Adult LS vs Healthy"
"C.23.PRNP","C.23.PRNP","Increased In LS",5,"Adult LS vs Healthy"
"C.12.S100A2","C.12.S100A2","Increased in Healthy",5,"Adult LS vs Healthy"
"C.27.S100A4","C.27.S100A4","Increased In LS",5,"Adult LS vs Healthy"
"C.24.LGALS7B","C.24.LGALS7B","Increased in Healthy",5,"Adult LS vs Healthy"
"C.23.SKP11","C.23.SKP1","Increased in Healthy",5,"Adult LS vs Healthy"
"C.26.DYNLL1","C.26.DYNLL1","Increased In LS",5,"Adult LS vs Healthy"
"C.20.ZFAS1","C.20.ZFAS1","Increased In LS",5,"Adult LS vs Healthy"
"C.20.COX7C1","C.20.COX7C","Increased In LS",5,"Adult LS vs Healthy"
"C.20.EEF1B21","C.20.EEF1B2","Increased In LS",5,"Adult LS vs Healthy"
"C.26.SQSTM1","C.26.SQSTM1","Increased In LS",5,"Adult LS vs Healthy"
"C.22.AQP3","C.22.AQP3","Increased In LS",5,"Adult LS vs Healthy"
"C.27.VIM","C.27.VIM","Increased In LS",5,"Adult LS vs Healthy"
