"","x"
"1",1
"2",470
"3",112
"4",306
"5",258
"6",455
"7",409
"8",56
"9",282
"10",252
"11",268
"12",384
"13",26
"14",173
"15",296
"16",370
"17",251
"18",426
"19",110
"20",233
"21",433
"22",115
"23",29
"24",19
"25",74
"26",238
"27",377
"28",442
"29",378
"30",452
"31",299
"32",163
"33",338
"34",52
"35",454
"36",346
"37",62
"38",406
"39",286
"40",343
"41",300
"42",389
"43",382
"44",348
"45",456
"46",66
"47",304
"48",154
"49",186
"50",332
"51",324
"52",59
"53",144
"54",448
"55",236
"56",146
"57",69
"58",223
"59",402
"60",407
"61",165
"62",104
"63",395
"64",352
"65",356
"66",134
"67",415
"68",124
"69",156
"70",42
"71",432
"72",398
"73",381
"74",190
"75",474
"76",340
"77",201
"78",46
"79",158
"80",325
"81",121
"82",198
"83",79
"84",102
"85",51
"86",368
"87",350
"88",218
"89",359
"90",86
"91",140
"92",393
"93",399
"94",166
"95",278
"96",388
"97",410
"98",45
"99",440
"100",116
"101",380
"102",451
"103",460
"104",273
"105",85
"106",131
"107",128
"108",202
"109",364
"110",266
"111",248
"112",265
"113",13
"114",313
"115",138
"116",76
"117",12
"118",225
"119",242
"120",157
"121",89
"122",458
"123",109
"124",374
"125",37
"126",2
"127",375
"128",103
"129",391
"130",412
"131",180
"132",367
"133",34
"134",231
"135",260
"136",264
"137",241
"138",418
"139",106
"140",257
"141",145
"142",280
"143",118
"144",416
"145",209
"146",301
"147",100
"148",476
"149",250
"150",279
"151",422
"152",31
"153",21
"154",226
"155",47
"156",205
"157",405
"158",48
"159",292
"160",167
"161",360
"162",193
"163",429
"164",254
"165",469
"166",321
"167",49
"168",82
"169",295
"170",330
"171",33
"172",65
"173",125
"174",111
"175",151
"176",71
"177",199
"178",17
"179",94
"180",315
"181",430
"182",353
"183",444
"184",142
"185",105
"186",230
"187",475
"188",247
"189",153
"190",420
"191",457
"192",95
"193",396
"194",127
"195",436
"196",461
"197",181
"198",18
"199",323
"200",224
"201",355
"202",259
"203",366
"204",179
"205",133
"206",194
"207",309
"208",185
"209",310
"210",333
"211",334
"212",36
"213",200
"214",303
"215",160
"216",354
"217",414
"218",216
"219",464
"220",336
"221",467
"222",119
"223",262
"224",39
"225",302
"226",122
"227",404
"228",68
"229",117
"230",114
"231",316
"232",150
"233",314
"234",293
"235",237
"236",203
"237",192
"238",347
"239",174
"240",284
"241",22
"242",450
"243",281
"244",290
"245",44
"246",431
"247",5
"248",90
"249",61
"250",267
"251",447
"252",130
"253",176
"254",207
"255",164
"256",159
"257",390
"258",341
"259",322
"260",41
"261",256
"262",277
"263",63
"264",147
"265",27
"266",77
"267",363
"268",84
"269",184
"270",28
"271",217
"272",434
"273",443
"274",427
"275",235
"276",275
"277",3
"278",228
"279",96
"280",182
"281",245
"282",291
"283",70
"284",425
"285",35
"286",439
"287",137
"288",408
"289",312
"290",449
"291",24
"292",6
"293",269
"294",155
"295",40
"296",253
"297",53
"298",208
"299",132
"300",411
"301",149
"302",331
"303",401
"304",204
"305",148
"306",58
"307",272
"308",358
"309",4
"310",298
"311",473
"312",172
"313",438
"314",246
"315",183
"316",25
"317",376
"318",108
"319",351
"320",244
"321",274
"322",263
"323",162
"324",337
"325",421
"326",88
"327",335
"328",214
"329",188
"330",342
"331",141
"332",320
"333",349
"334",222
"335",261
"336",270
"337",294
"338",329
"339",143
"340",403
"341",54
"342",385
"343",365
"344",213
"345",175
"346",72
"347",123
"348",305
"349",64
"350",285
"351",357
"352",276
"353",308
"354",171
"355",369
"356",195
"357",178
"358",361
"359",239
"360",107
"361",97
"362",9
"363",392
"364",463
"365",187
"366",287
"367",379
"368",10
"369",229
"370",465
"371",472
"372",271
"373",210
"374",92
"375",20
"376",232
"377",99
"378",220
"379",227
"380",221
"381",169
"382",362
"383",168
"384",327
"385",240
"386",424
"387",170
"388",177
"389",249
"390",7
"391",98
"392",289
"393",101
"394",243
"395",371
"396",152
"397",428
"398",129
"399",126
"400",297
"401",196
"402",319
"403",468
"404",211
"405",57
"406",419
"407",136
"408",466
"409",197
"410",397
"411",318
"412",423
"413",8
"414",15
"415",32
"416",161
"417",255
"418",16
"419",50
"420",459
"421",30
"422",437
"423",14
"424",372
"425",345
"426",91
"427",93
"428",206
"429",453
"430",446
"431",339
"432",38
"433",87
"434",311
"435",326
"436",387
"437",400
"438",386
"439",139
"440",413
"441",55
"442",120
"443",60
"444",328
"445",317
"446",445
"447",81
"448",307
"449",135
"450",383
"451",191
"452",219
"453",11
"454",283
"455",435
"456",80
"457",215
"458",83
"459",234
"460",373
"461",67
"462",78
"463",43
"464",75
"465",394
"466",73
"467",462
"468",288
"469",471
"470",417
"471",23
"472",344
"473",441
"474",212
"475",113
"476",189
