Query.Mass,Matched.Compound,Matched.Form,Mass.Diff
82.06508,C00719,M-H4O2+H[1+],3.53323001434092e-06
82.06508,C00183,M-H4O2+H[1+],3.53323001434092e-06
82.06508,C00450,M-HCOOH+H[1+],9.64667699889787e-05
82.06508,C03758,M-C3H4O2+H[1+],9.64667700031896e-05
202.10726,C00788,M+H2O+H[1+],0.000116466770009538
202.10726,C05589,M+H2O+H[1+],0.000116466770009538
202.10726,C00864,M-H2O+H[1+],0.000116466770009538
515.27533,C17337,M+HCOOK[1+],0.00154646676992343
172.13319,C03793,M-NH3+H[1+],8.64667700000155e-05
172.13319,C18042,M+H+Na[2+],0.000836466770010702
201.09827,C16362,M+H[1+],9.35332300002756e-05
127.03893,C00628,M-CO+H[1+],5.35332300017899e-05
127.03893,C05584,M-C3H4O2+H[1+],4.64667699873189e-05
166.04984,C05653,M+H[1+],3.64667700125665e-05
166.04984,C16353,M[1+],0.000739999999979091
166.04984,C16358,M[1+],0.000739999999979091
166.04984,C01693,M-CO+H[1+],6.35332299907532e-05
166.04984,C04185,M-CO+H[1+],6.35332299907532e-05
166.04984,C05579,M+H2O+H[1+],3.64667700409882e-05
166.04984,C00847,M-H2O+H[1+],3.64667700125665e-05
168.06552,C00250,M+H[1+],4.35332299844049e-05
168.06552,C00822,M-CO+H[1+],4.35332299844049e-05
168.06552,C05578,M+H2O+H[1+],5.64667700189148e-05
158.08146,C00437,M-NH3+H[1+],0.000283533229975319
180.10188,C05588,M-H2O+H[1+],3.53323000013006e-06
279.23199,C06426,M+H[1+],0.000113533229978202
279.23199,C06427,M+H[1+],0.000113533229978202
279.23199,C05476,M-C3H4O2+H[1+],0.000113533229978202
279.23199,C14825,M-H2O+H[1+],0.000213533230009944
279.23199,C14826,M-H2O+H[1+],0.000213533230009944
133.06476,C06459,M-H4O2+H[1+],0.000316466770016177
133.06476,C03012,M-CO+H[1+],8.35332299971014e-05
198.07611,C00355,M+H[1+],3.35332299812308e-05
155.08151,C00931,M-C3H4O2+H[1+],6.64667699936672e-05
186.07609,C01132,M-H4O2+H[1+],0.000113533229978202
186.07609,C00140,M-H4O2+H[1+],0.000113533229978202
186.07609,C00645,M-H4O2+H[1+],0.000113533229978202
186.07609,C00250,M+H2O+H[1+],1.35332299748825e-05
98.06,C00148,M-H2O+H[1+],2.35332300064783e-05
98.06,C00763,M-H2O+H[1+],2.35332300064783e-05
98.06,C00547,M-C3H4O2+H[1+],7.64667699968413e-05
98.06,C03824,M-CO2+H[1+],7.64667699826305e-05
98.06,C00314,M-C3H4O2+H[1+],7.64667699968413e-05
170.11755,C01953,M+H+Na[2+],0.00082646677003595
170.11755,C03681,M+H+Na[2+],0.00082646677003595
170.11755,C04042,M+H+Na[2+],0.00082646677003595
170.11755,C05479,M+H+Na[2+],0.00082646677003595
170.11755,C05588,M-CO+H[1+],7.35332299939273e-05
174.11244,C00062,M[1+],0.000739999999979091
174.11244,C00864,M-HCOOH+H[1+],0.000136466770015886
174.11244,C00792,M[1+],0.000739999999979091
138.05494,C00108,M+H[1+],3.64667700125665e-05
138.05494,C05653,M-CO+H[1+],6.35332299907532e-05
138.05494,C00847,M-HCOOH+H[1+],0.000136466770015886
138.05494,C16591,M-C3H4O2+H[1+],3.64667700409882e-05
255.09757,C07535,M(S34)+H[1+],0.000593533229988452
255.09757,C07535,M(Cl37)+H[1+],0.00080646677000118
255.09757,C16582,M+H[1+],6.46677003146578e-06
255.09757,C16584,M+H[1+],6.46677003146578e-06
255.09757,C02700,M+H2O+H[1+],6.46677003146578e-06
255.09757,C03150,M[1+],0.000529999999997699
255.09757,C04874,M[1+],0.000769999999988613
156.10193,C00483,M+H2O+H[1+],4.64667700157406e-05
156.10193,C00788,M-CO+H[1+],0.00015353323001932
156.10193,C05589,M-CO+H[1+],0.00015353323001932
182.0448,C16355,M[1+],0.000799999999998136
182.0448,C16359,M[1+],0.000799999999998136
189.08697,C00179,M+NaCl[1+],0.00070646676999786
98.07125,C01571,M+H+Na[2+],0.00017646676998595
98.07125,C01152,M-C3H4O2+H[1+],2.64667699951815e-05
180.10184,C05588,M-H2O+H[1+],3.64667699841448e-05
112.07567,C00408,M-H2O+H[1+],6.46677000304408e-06
112.07567,C05936,M-H2O+H[1+],6.46677000304408e-06
112.07567,C00788,M-C3H4O2+H[1+],6.46676997462237e-06
112.07567,C05589,M-C3H4O2+H[1+],6.46676997462237e-06
87.04401,C00111,M-HCOOK+H[1+],3.35332300096525e-05
87.04401,C00118,M-HCOOK+H[1+],3.35332300096525e-05
87.04401,C01205,M-NH3+H[1+],6.64667699936672e-05
87.04401,C00334,M-NH3+H[1+],6.64667699936672e-05
87.04401,C01026,M-NH3+H[1+],6.64667699936672e-05
87.04401,C02356,M-NH3+H[1+],6.64667699936672e-05
87.04401,C03284,M-NH3+H[1+],6.64667699936672e-05
87.04401,C06001,M-H2O+H[1+],3.35332299954416e-05
87.04401,C00670,M+3H[3+],0.000133133436648336
87.04401,C05984,M-H2O+H[1+],3.35332299954416e-05
87.04401,C01089,M-H2O+H[1+],3.35332299954416e-05
176.09172,C01132,M-HCOOH+H[1+],5.6466769990493e-05
176.09172,C00352,M-HCOOK+H[1+],4.35332299844049e-05
176.09172,C00140,M-HCOOH+H[1+],5.6466769990493e-05
176.09172,C00645,M-HCOOH+H[1+],5.6466769990493e-05
97.02839,C00544,M-C3H4O2+H[1+],8.64667700000155e-05
97.02839,C03912,M-NH3+H[1+],8.64667700000155e-05
97.02839,C03564,M-NH3+H[1+],8.64667700000155e-05
97.02839,C01161,M-C3H4O2+H[1+],8.64667700000155e-05
97.02839,C05577,M-C3H4O2+H[1+],8.64667700000155e-05
99.04402,C00148,M-NH3+H[1+],5.6466769990493e-05
99.04402,C00763,M-NH3+H[1+],5.6466769990493e-05
99.04402,C01801,M-H4O2+H[1+],4.35332300128266e-05
99.04402,C00141,M-H2O+H[1+],4.35332299986158e-05
99.04402,C05576,M-C3H4O2+H[1+],5.64667699762822e-05
83.08546,C02373,M-H2O+H[1+],1.64667700062182e-05
276.10782,C05341,M+NaCl[1+],0.000656466770010411
127.08658,C16741,M-H4O2+H[1+],0.000103533229989239
226.05327,C05645,M(Cl37)+H[1+],0.000693533229991772
74.05999,C01888,M+H[1+],8.64667700000155e-05
74.05999,C04076,M-C3H4O2+H[1+],8.64667700000155e-05
74.05999,C02946,M-C3H4O2+H[1+],8.64667700000155e-05
74.05999,C05665,M+H[1+],8.64667700000155e-05
74.05999,C00188,M-HCOOH+H[1+],8.64667699858046e-05
74.05999,C03508,M-CO2+H[1+],8.64667699858046e-05
74.05999,C05519,M-HCOOH+H[1+],8.64667699858046e-05
74.05999,C00047,M+2H[2+],3.64667699983556e-05
73.06476,C06423,M+2H[2+],1.64667699920074e-05
73.06476,C00141,M-CO2+H[1+],1.64667699920074e-05
152.07062,C00534,M-NH3+H[1+],5.64667700189148e-05
152.07062,C00355,M-HCOOH+H[1+],5.64667700189148e-05
152.07062,C00547,M-H2O+H[1+],4.35332299844049e-05
152.07062,C00822,M-CO2+H[1+],5.64667700189148e-05
152.07062,C00314,M-H2O+H[1+],4.35332299844049e-05
145.04956,C00956,M-NH3+H[1+],1.64667700062182e-05
145.04956,C00031,M-H4O2+H[1+],8.35332299971014e-05
145.04956,C00221,M-H4O2+H[1+],8.35332299971014e-05
145.04956,C00267,M-H4O2+H[1+],8.35332299971014e-05
145.04956,C00095,M-H4O2+H[1+],8.35332299971014e-05
145.04956,C00159,M-H4O2+H[1+],8.35332299971014e-05
145.04956,C00124,M-H4O2+H[1+],8.35332299971014e-05
145.04956,C00137,M-H4O2+H[1+],8.35332299971014e-05
145.04956,C00984,M-H4O2+H[1+],8.35332299971014e-05
127.05018,C00178,M+H[1+],3.53323000013006e-06
127.05018,C02835,M+H[1+],3.53323000013006e-06
127.05018,C05512,M+2H[2+],4.64667700015298e-05
242.11355,C19563,M+H2O+H[1+],2.64667700093923e-05
242.11355,C19566,M+H2O+H[1+],2.64667700093923e-05
164.07059,C05636,M-NH3+H[1+],8.64667700000155e-05
164.07059,C05638,M-NH3+H[1+],8.64667700000155e-05
164.07059,C00082,M-H2O+H[1+],1.35332300033042e-05
164.07059,C01252,M-CO2+H[1+],8.64667700000155e-05
164.07059,C05635,M-CO+H[1+],0.000113533230006624
164.07059,C00018,M-HCOOK+H[1+],1.35332300033042e-05
164.07059,C14801,M-CO2+H[1+],8.64667700000155e-05
164.07059,C16591,M-HCOOH+H[1+],8.64667700000155e-05
164.07059,C16596,M-CO+H[1+],0.000113533230006624
175.11906,C00062,M+H[1+],8.35332299686797e-05
175.11906,C00792,M+H[1+],8.35332299686797e-05
137.04569,C00262,M+H[1+],8.64667700000155e-05
137.04569,C00155,M(C13)+H[1+],0.000386466770009974
137.04569,C16355,M-HCOOH+H[1+],0.000186466770003335
137.04569,C16359,M-HCOOH+H[1+],0.000186466770003335
170.08117,C00547,M+H[1+],6.46677003146578e-06
170.08117,C00314,M+H[1+],6.46677003146578e-06
170.08117,C00355,M-CO+H[1+],9.35332299718539e-05
164.07057,C05636,M-NH3+H[1+],0.000106466770006364
164.07057,C05638,M-NH3+H[1+],0.000106466770006364
164.07057,C00082,M-H2O+H[1+],6.46677000304408e-06
164.07057,C01252,M-CO2+H[1+],0.000106466770006364
164.07057,C05635,M-CO+H[1+],9.35332300002756e-05
164.07057,C00018,M-HCOOK+H[1+],6.46677000304408e-06
164.07057,C14801,M-CO2+H[1+],0.000106466770006364
164.07057,C16591,M-HCOOH+H[1+],0.000106466770006364
164.07057,C16596,M-CO+H[1+],9.35332300002756e-05
365.10571,C00089,M+Na[1+],0.000233533229959448
365.10571,C00243,M+Na[1+],0.000233533229959448
365.10571,C01235,M+Na[1+],0.000233533229959448
365.10571,C05400,M+Na[1+],0.000233533229959448
365.10571,C05402,M+Na[1+],0.000233533229959448
365.10571,C00208,M+Na[1+],0.000233533229959448
365.10571,C00252,M+Na[1+],0.000233533229959448
365.10571,C01083,M+Na[1+],0.000233533229959448
189.07578,C00114,M+HCOOK[1+],0.000296466770009829
189.07578,C02714,M+NaCl[1+],0.000696466769994686
189.07578,C05576,M+H2O+H[1+],3.53323000013006e-06
189.07578,C00255,M+2H[2+],0.000646466770007237
282.27924,C00319,M-H2O+H[1+],0.000163533230022495
282.27924,C02934,M-H2O+H[1+],0.000163533230022495
282.27924,C12144,M-H4O2+H[1+],0.000163533230022495
325.27408,C03242,M+H2O+H[1+],0.000303533230010089
126.05497,C00956,M-H4O2+H[1+],9.35332299860647e-05
126.05497,C00355,M-C3H4O2+H[1+],6.46677000304408e-06
126.05497,C00632,M-CO+H[1+],9.35332300144864e-05
145.04952,C00956,M-NH3+H[1+],5.64667700189148e-05
145.04952,C00031,M-H4O2+H[1+],4.35332299844049e-05
145.04952,C00221,M-H4O2+H[1+],4.35332299844049e-05
145.04952,C00267,M-H4O2+H[1+],4.35332299844049e-05
145.04952,C00095,M-H4O2+H[1+],4.35332299844049e-05
145.04952,C00159,M-H4O2+H[1+],4.35332299844049e-05
145.04952,C00124,M-H4O2+H[1+],4.35332299844049e-05
145.04952,C00137,M-H4O2+H[1+],4.35332299844049e-05
145.04952,C00984,M-H4O2+H[1+],4.35332299844049e-05
164.07396,C00956,M(Cl37)+H[1+],0.000683533229988598
351.12646,C02538,M+H[1+],0.000383533229978639
157.04983,C00156,M+H2O+H[1+],0.000253533229965797
157.04983,C01036,M-CO2+H[1+],0.000253533229965797
157.04983,C01061,M-CO2+H[1+],0.000253533229965797
157.04983,C05580,M-CO+H[1+],0.000353533229969116
157.04983,C05585,M+H2O+H[1+],0.000253533229965797
