"","x"
"1",164
"2",906
"3",314
"4",478
"5",187
"6",1008
"7",53
"8",982
"9",1069
"10",528
"11",748
"12",367
"13",598
"14",770
"15",1026
"16",758
"17",651
"18",456
"19",466
"20",90
"21",1090
"22",812
"23",939
"24",545
"25",704
"26",201
"27",889
"28",746
"29",232
"30",67
"31",519
"32",159
"33",111
"34",550
"35",950
"36",441
"37",808
"38",165
"39",260
"40",1037
"41",253
"42",616
"43",901
"44",387
"45",874
"46",17
"47",782
"48",810
"49",414
"50",1012
"51",1016
"52",792
"53",254
"54",342
"55",458
"56",829
"57",366
"58",12
"59",775
"60",239
"61",908
"62",1003
"63",35
"64",87
"65",440
"66",904
"67",34
"68",1055
"69",738
"70",780
"71",608
"72",599
"73",202
"74",844
"75",850
"76",695
"77",1004
"78",320
"79",806
"80",223
"81",755
"82",86
"83",189
"84",482
"85",286
"86",922
"87",395
"88",1000
"89",241
"90",979
"91",352
"92",706
"93",151
"94",354
"95",879
"96",231
"97",552
"98",273
"99",888
"100",512
"101",355
"102",42
"103",341
"104",860
"105",765
