"","names","color","fac","model"
"C.6.IER2","C.6.IER2","Higher LoSAI score",1,"LS LoSAI"
"C.6.FOSB","C.6.FOSB","Higher LoSAI score",1,"LS LoSAI"
"C.14.FOSB","C.14.FOSB","Higher LoSAI score",1,"LS LoSAI"
"C.6.NR4A1","C.6.NR4A1","Higher LoSAI score",1,"LS LoSAI"
"C.0.IER3","C.0.IER3","Higher LoSAI score",1,"LS LoSAI"
"C.0.NFKBIA","C.0.NFKBIA","Higher LoSAI score",1,"LS LoSAI"
"C.22.MALAT1","C.22.MALAT1","Lower LoSAI score",1,"LS LoSAI"
"C.0.DNAJA1","C.0.DNAJA1","Higher LoSAI score",1,"LS LoSAI"
"C.26.IER3","C.26.IER3","Higher LoSAI score",1,"LS LoSAI"
"C.13.ID3","C.13.ID3","Lower LoSAI score",1,"LS LoSAI"
"C.17.GEM","C.17.GEM","Higher LoSAI score",1,"LS LoSAI"
"C.26.ID1","C.26.ID1","Higher LoSAI score",1,"LS LoSAI"
"C.10.DUSP2","C.10.DUSP2","Higher LoSAI score",1,"LS LoSAI"
"C.23.NEAT1","C.23.NEAT1","Higher LoSAI score",1,"LS LoSAI"
"C.25.IER2","C.25.IER2","Higher LoSAI score",1,"LS LoSAI"
"C.25.DCD","C.25.DCD","Lower LoSAI score",4,"LS LoSAI"
"C.25.MUCL1","C.25.MUCL1","Lower LoSAI score",4,"LS LoSAI"
"C.25.SCGB2A2","C.25.SCGB2A2","Lower LoSAI score",4,"LS LoSAI"
"C.25.SCGB1D2","C.25.SCGB1D2","Lower LoSAI score",4,"LS LoSAI"
"C.25.SCGB1B2P","C.25.SCGB1B2P","Lower LoSAI score",4,"LS LoSAI"
"C.25.KRT14","C.25.KRT14","Higher LoSAI score",4,"LS LoSAI"
"C.25.ELF3","C.25.ELF3","Higher LoSAI score",4,"LS LoSAI"
"C.25.UBA52","C.25.UBA52","Higher LoSAI score",4,"LS LoSAI"
"C.21.KRT71","C.21.KRT7","Lower LoSAI score",4,"LS LoSAI"
"C.25.AZGP1","C.25.AZGP1","Lower LoSAI score",4,"LS LoSAI"
"C.25.CALML52","C.25.CALML5","Higher LoSAI score",4,"LS LoSAI"
"C.26.ANGPT22","C.26.ANGPT2","Higher LoSAI score",4,"LS LoSAI"
"C.25.EEF1B21","C.25.EEF1B2","Higher LoSAI score",4,"LS LoSAI"
"C.25.ACTG1","C.25.ACTG1","Higher LoSAI score",4,"LS LoSAI"
"C.25.SERF2","C.25.SERF2","Lower LoSAI score",4,"LS LoSAI"
"C.21.SFRP11","C.21.SFRP1","Lower LoSAI score",4,"LS LoSAI"
"C.12.CHCHD2","C.12.CHCHD2","Lower LoSAI score",4,"LS LoSAI"
