Gene	A_loading	AUCs	corrs	Association	LF_number	Model
C.4.COL3A1	1	0.6346153846153846	0.22700760322746225	Higher in Adult LS	1	Adult LS vs Healthy
C.13.COL3A1	1	0.7692307692307692	0.45342519294190703	Higher in Adult LS	1	Adult LS vs Healthy
C.13.COL1A1	1	0.7403846153846154	0.40484392226955984	Higher in Adult LS	1	Adult LS vs Healthy
C.18.COL6A1	1	0.6394230769230769	0.24148785297835307	Higher in Adult LS	1	Adult LS vs Healthy
C.1.AQP3	0.5598253036400752	0.6634615384615384	0.2761920550668525	Higher in Adult LS	1	Adult LS vs Healthy
C.26.PLAC9	0.5428544733395941	0.6682692307692308	0.29991257467394133	Higher in Adult LS	1	Adult LS vs Healthy
C.17.NFKBIA	0.200832313877399	0.3653846153846154	-0.22671259647095351	Higher in Healthy	1	Adult LS vs Healthy
C.27.DDX5	0.1724343081178355	0.8365384615384616	0.5829017140856798	Higher in Adult LS	1	Adult LS vs Healthy
C.4.NFKBIA	0.16580782533250268	0.3125	-0.31588083473738315	Higher in Healthy	1	Adult LS vs Healthy
C.16.DNAJB1	0.14062972650022582	0.5528846153846154	0.08909459441310806	Higher in Adult LS	1	Adult LS vs Healthy
C.23.FOS	1	0.39903846153846156	-0.17487051422570396	Higher in Healthy	2	Adult LS vs Healthy
C.23.JUN	1	0.40865384615384615	-0.15434261900794696	Higher in Healthy	2	Adult LS vs Healthy
C.23.JUNB	1	0.3894230769230769	-0.18683580195698843	Higher in Healthy	2	Adult LS vs Healthy
C.23.HES1	0.5702266964719719	0.35096153846153844	-0.2656368518540623	Higher in Healthy	2	Adult LS vs Healthy
C.13.THY1	0.41272482269227234	0.5961538461538461	0.1621482880196159	Higher in Adult LS	2	Adult LS vs Healthy
C.18.CIRBP	0.3090299829267154	0.6153846153846154	0.19795764159656262	Higher in Adult LS	2	Adult LS vs Healthy
C.5.TACSTD2	0.2937951443246209	0.5673076923076923	0.11350380161373112	Higher in Adult LS	2	Adult LS vs Healthy
C.3.SLC2A3	0.24057060366084967	0.3269230769230769	-0.2918669184353086	Higher in Healthy	2	Adult LS vs Healthy
C.18.SOD3	0.1924786204742442	0.4326923076923077	-0.11804887248377777	Higher in Healthy	2	Adult LS vs Healthy
C.23.SKP1	0.15009706446830332	0.28365384615384615	-0.36857191888662794	Higher in Healthy	2	Adult LS vs Healthy
C.4.TCF4	1	0.7019230769230769	0.35989508960872957	Higher in Adult LS	3	Adult LS vs Healthy
