"","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16","Z17","Z18","Z19","Z20","Z21","Z22","Z23","Z24","Z25","Z26","Z27","Z28","Z29","Z30","Z31","Z32","Z33","Z34","Z35","Z36","Z37","Z38","Z39","Z40","Z41","Z42","Z43","Z44","Z45","Z46","Z47","Z48","Z49","Z50","Z51","Z52","Z53","Z54","Z55","Z56"
"SC49",-2.44763047099069,6.4418367230414,18.7588938562926,4.49065399088454,5.05152889319922,1.47597180491223,-2.82789322253312,1.61369056722263,11.9538361395177,6.2191213077452,-4.60263350072547,14.7376845549275,14.795544761601,5.13119040046497,24.0659233986728,-0.251388451007262,1.36931915763258,-37.8553687230321,3.35108475415489,1.76656111491851,-4.09790200421558,-2.75976974066313,20.078118810943,-2.37673947732325,-8.50791594855009,20.3360744343204,-4.22902449918441,5.51464675761566,-6.75665947302651,-2.7103399042917,-0.657641130219078,1.99108237416588,5.40682283567115,-3.14393988564917,-10.9318827777104,-3.68181932460192,2.37237596110847,11.2724567806601,4.0344053257551,24.4202460729478,-15.999474708104,26.1267707663856,-18.0644991475678,-1.40088573485337,18.3870435761069,-6.35118818995003,-9.46016463014959,4.83508995123137,-32.1999088912848,-4.8023404337132,-11.1003144722298,7.86927626436655,9.98457661751045,6.05313692521862,-12.3713711474517,22.610262126133
"SC60",0.466313712812764,6.25359337572811,16.4843657393942,4.66685423844888,5.29054476901878,-0.082142747058921,-1.63572884353988,1.06928066288584,9.16015659586479,5.75519259822943,-2.84547461356013,11.973810986681,10.5364508227906,4.23286588049571,17.6775217119296,0.832178250592224,0.413176817803242,-26.8878240084004,3.13392026935962,0.0901999701296092,-3.09524932729573,-0.0063987147400289,16.4380010168763,-1.17275261837446,-3.84501780143354,16.3785663682556,-3.17629746792507,2.91989284677392,-4.19328226386972,-0.570112804331022,0.396576750323006,2.07428491477645,3.34123391576359,-3.32232116756322,-7.39774800074727,-3.93806637527993,2.07866311849533,7.86198716060239,3.50498487792419,15.7821325055158,-11.9027897741447,17.8732814823758,-8.34950881079272,-0.0561334606574187,14.4042556202104,-3.91897612084716,-6.91265738517301,4.41927183436575,-23.3812602671222,-2.23072128736463,-7.77397151772236,6.53264239077836,7.45629428259489,3.99770887046034,-8.27660826511501,17.7174817865
"SC70",-0.931527286900969,6.06340609073023,16.5143783924383,4.28760684626173,4.94528797391491,-0.118523471008564,-1.74576448798445,2.09394717425834,10.9420915343851,5.84575091094552,-3.29968769492861,12.7389090277759,12.8345184050368,4.60332977131749,18.9048002812284,0.752918775523985,0.884923179994396,-30.2149855249734,2.69240244901681,0.0897393308155925,-2.9269879052311,-0.599886971611548,18.2030789729233,-2.28377024711175,-6.06110411302347,17.4114182513499,-3.77969093072375,4.52497413773056,-5.2265598461546,-1.44399554310545,-0.433250007908222,1.74822966763484,3.63994430749794,-0.938124356273042,-8.24422219370189,-2.34049683985207,3.96869956869261,8.78276201035359,3.54827760439885,17.9840279346914,-13.3872684551271,19.4340642233451,-13.7334754988206,-0.699845390748829,15.2626928957376,-4.94940707416774,-7.35611694117633,4.05817008738356,-24.7383374312152,-3.10503386335526,-8.67070435161557,6.44690506894997,8.3408174658981,4.3166155912858,-11.1182223767512,18.7291056145403
"SC69",-0.122099210993571,6.22447530686275,18.1636660898083,3.66733041654484,5.73262220343243,-0.0632443228949991,-1.73522049926915,1.60483735461277,10.6869033465392,5.91359249252519,-3.01268720220308,14.4024583313197,14.2309190813331,3.69179112059432,22.4400559486542,1.62389329414297,1.48397483177813,-33.3718880592774,3.51720219278252,0.051269602655825,-3.26715350881139,-1.99121420986701,20.4644039421224,-2.47228267125659,-6.025136820182,18.9810377874314,-4.01941930316296,4.96929504082831,-5.91444833259138,-2.80258865486148,-0.786029926537539,1.50827239393753,4.66736104006642,-2.97570187934955,-9.50388044353049,-3.20842792833087,3.37710011689384,9.90709725142255,4.21653130167701,19.3295411980759,-15.5828972375448,23.7038888574775,-15.5813895218985,-1.90652303597798,15.1407233070919,-7.32898145566706,-8.12812557407804,1.7473627818429,-30.6000608313597,-4.56873638308589,-9.50511402675684,7.43728528347339,8.42390679012464,6.27714709013731,-12.2959613034391,21.7064344545173
"SC86",-1.48298929903322,5.52940483531982,19.2441471761721,3.06088801722254,4.79408028971763,1.09033301884591,-1.22758126511963,1.20331068681595,11.7948592415371,6.25783684347301,-3.99617033443124,15.0263850846905,13.9011736220221,5.81957021059806,23.2608300093854,0.155264255975336,0.6515300996887,-35.1537883037931,2.05332863709518,1.65919686765079,-3.72999529246706,-1.2182604745862,21.1227121278178,-2.28561376860025,-6.779857660482,19.4194790565671,-4.38054204532548,3.95674805384497,-5.605989897453,-3.49828146527024,-1.47450373534196,0.773087585059893,4.18988180022965,-2.37873234265086,-9.51158935084555,-3.67082302422552,2.31324451683598,10.4571287467365,3.80901454378853,20.5827241276369,-15.6248043625897,23.7817612794913,-13.5829079972934,-1.02297425140792,18.1391297819685,-7.31175753711038,-9.99957963801115,5.13688651180381,-31.6185934713097,-4.09132803567999,-10.5521721394793,6.05926351851805,8.44464311679394,5.67114939952896,-10.3713477602174,21.1008496116544
"SC119",-0.169852390707303,4.55577591628456,13.9908965706582,3.18447079259524,4.60031922571799,1.02053022490642,-0.282646158364031,0.936395958717086,8.34843785839388,5.06552711213276,-2.11941841204596,11.1304969711718,9.89037247292134,4.6556330224886,16.5380170935548,0.169591143685173,0.57525435599901,-24.198692639168,3.06582945172913,1.75725697608935,-2.46903675296875,-0.571896480081827,15.227406355363,-1.07396975122131,-4.59612206217989,16.367856366759,-2.07188040497913,2.65928304506304,-3.98299897244813,-1.88117252578779,-0.669667291366735,0.396220235481144,2.8689290895031,-1.02007773244756,-6.24525839007854,-2.00902772025158,1.87283663074806,7.08285635113466,2.08264615800296,14.5293630856875,-11.9859357387369,15.4510707793622,-9.64346123243409,-0.634803571152333,13.5360144020356,-4.39244928554268,-7.07342685030521,4.43662801049478,-20.2097883020327,-1.73865017078485,-7.10533598987396,4.69382419403515,5.7374237043944,5.33720462570948,-7.06659236644238,16.3792142413634
"SC185",-1.9215293496218,6.17550983612995,20.269133056383,4.23117554039613,5.30987366791161,1.26110193223594,-2.35393064427462,1.2335322134397,13.1016779912057,6.04978507986338,-4.84353191364989,14.5484405020472,14.082741956892,4.78680715770405,22.6472471887089,0.801813776780822,0.501985887320984,-36.4104814735446,1.81630293327348,1.58257382023257,-3.83450137385886,-1.15839479559388,21.3800836575161,-2.60853639625659,-6.09575013063091,19.8288873154581,-4.76363314252778,3.7354020263614,-5.56008180961805,-2.73317626842081,-2.22077725457832,1.11169408264635,4.15364387227301,-1.86470267872896,-6.88937653929926,-3.44187351175866,2.62867327006624,9.69485621728238,3.38115529779493,18.202471477647,-15.5749457509809,22.4184715976721,-10.294444510125,-3.00634769521802,18.5346185121898,-5.34886520740515,-10.392171096518,4.88317913705537,-31.5462939148327,-4.91824568340085,-11.2587442752338,6.13751789435378,9.44493619015245,4.03907285500632,-11.1675133967824,23.276990500724
"SC188",0.1377332481248,4.56674828489107,15.0733178339152,2.8515707174837,4.9689571799391,0.871606409484163,-1.01996554112201,0.648192344726199,8.91004255497757,5.33372768918857,-2.57699058872399,12.1457601525654,11.2728561133731,4.95017120418167,18.4993295764683,0.876424482770565,1.23666971032737,-25.7812798424331,4.25009047223936,1.22268478314825,-2.04902479435471,-0.0848162751720692,16.8060684445527,-0.579195075304368,-4.43936159317311,15.6669229099065,-3.40788952211355,4.53857480319301,-4.70729486268808,-2.19558464507901,-0.459348692182895,0.446307787888519,3.94995431623463,-1.5384783211309,-6.86358922782277,-2.80309256362591,1.97788752832092,7.9900671572741,2.47212807978995,16.9850705610651,-11.5799938215827,18.8657353051675,-9.70519086151555,-0.515861530733582,14.6680929409267,-3.8723309026643,-6.60340104032352,4.11085905558454,-22.8737982326467,-2.57394318649906,-7.42788540478663,5.48852554826289,7.450126416599,4.90100409251175,-7.99613351772526,17.0459260545427
"SC189",1.08504237931936,4.97481022936978,13.3769516537747,4.28534363896031,4.99661703552178,-0.166979600314948,-1.1374285610509,1.09224418899756,7.23896101249873,4.70986124437856,-2.25668758303495,9.69145598370965,9.79454589455048,4.01433028979396,14.0605353957595,1.5344645288289,0.227897755443429,-19.5043982225304,2.8650937416941,0.124480064770299,-1.69803380006271,0.403967292869911,13.3571432623296,0.585843630203531,-2.28988625714524,13.4353727597483,-2.52676599645392,3.45544026976303,0.516444413817747,-0.51308320612371,-0.353208434684357,1.35531556391033,5.26666483840926,-0.75614864381685,-3.9945980891094,-2.13283238910572,1.72336837892124,6.00790443066319,3.14939313396073,11.6597105270768,-8.5325329680912,13.7505441930268,-4.19683143497582,0.856291869056662,10.9996626672709,-3.29666677104135,-6.39772780702607,4.72719765745697,-18.3330147350212,-0.238957585265633,-6.12841725586465,5.6980967802689,5.37917786038353,2.80528837899743,-4.90772914633559,14.9041030156802
"SC159",-1.16473096297192,4.04235459361792,13.7609576795586,2.75712279777144,3.62605892329275,0.873578089351812,-0.673816637512603,1.43562723807981,8.03140495286583,6.42803228077992,-1.54298168906007,12.2693597444043,10.5960435904522,5.27333072299841,16.3021807712528,1.23077233977166,1.49565483649252,-23.6454661239768,1.99695291202587,1.31841923790036,-2.48535781000372,0.0345969276330911,15.3395018420166,-0.484640493204678,-4.39038129703272,14.6674312528042,-3.21005467919964,4.19641685054203,-4.69546659354412,-2.52180249820009,0.733334148270498,0.948840985516106,3.54493606600609,-0.635172696416378,-7.0300946207499,-1.73392578597213,1.30206853789079,7.4325049050677,3.06524169809015,16.7764169681036,-10.2807978191749,18.6050489155246,-12.0053426918472,0.234036394810433,11.0950428921622,-4.7962444726671,-4.66176744602976,5.01940150695914,-20.8034305089978,-0.804560724968447,-5.56888194284919,5.48895281893178,6.27869789727809,6.07991229227856,-6.92080109722801,15.388893674163
"SC160",-0.554185821315733,4.23153601627055,15.8816723856638,2.1771481549378,4.46176968023939,0.937597836323786,-0.625892649894028,1.62137202722897,9.31766105519748,6.25366983666288,-2.07643241173349,13.7965450996753,11.942742020603,5.09834060218879,19.6485841111722,0.376731138763166,1.05862316534357,-28.2019516667024,2.68711809929658,1.31478144771809,-3.2426168304249,-0.737810901166623,18.0383519546721,-1.75616132582633,-4.97700379969048,16.1965790166385,-3.46720376461497,3.76790613358353,-5.61093855723677,-3.27771196070265,0.128726566591682,0.223144612702483,3.829191469171,-1.32885334233373,-8.65680004926277,-4.45541301908025,3.13714790630913,8.66546270516323,2.4967577934291,19.5386218192182,-11.643774797904,21.7677084568816,-13.3564353881192,-0.30366398431424,14.882577714985,-5.42466065127965,-6.50916239039015,4.60979912287537,-24.2985723184245,-2.19623946250272,-7.02171989265819,5.87282729718301,7.32274605002758,6.89647807124122,-9.1988281580803,17.0061768806316
"SC163",-1.93878248357597,4.86248619054652,17.0416314776357,2.42656075941882,4.65399483320408,-0.0837429180012236,-1.12256416521495,0.899312984952855,11.862231351976,6.53622579558662,-3.47760898149472,14.4852934655079,13.2214537779246,5.41213604094723,22.4224014632292,0.662862409362424,0.896020591070969,-32.180517743571,2.51567285462016,0.0667612226310355,-4.03220052058896,-1.05702533845877,19.5469121356805,-1.71607542302763,-5.78041308535756,17.6350465529506,-5.06065741636499,3.78142680770666,-5.66792315156515,-3.59637081118706,-1.38215461150682,0.638170454810495,4.26546693977093,-2.72230825334737,-9.19367473571469,-3.34112202464338,3.86586647003395,10.039519834594,2.9240598351376,19.9272675292994,-14.6840831864628,22.2287708144343,-14.8514732732294,-1.72856498633487,16.6366764611058,-5.7427054688233,-8.80558332454138,3.63951393970852,-27.8843280260392,-4.62548713648528,-9.05868377726442,6.35924588346302,9.29092239587933,5.2425973980041,-9.9289224932072,20.388608391005
"SC169",-1.93221670438324,4.64748641635615,16.0351629032438,3.00167836182673,4.15723195161145,0.886019460192202,-1.46096755576789,1.88019681692383,10.3204327937248,6.41245484036851,-1.84425570321092,13.3654253978225,10.8535079620691,5.12347414253137,18.6772364987026,1.39083308785418,0.967468040121853,-28.2872008145447,2.40387209194365,1.41512190188698,-3.12747661730101,-0.322825311395374,17.7145133735317,-1.44264881828496,-5.89652336432667,15.8910680354826,-3.0763950855225,3.28150659241063,-5.59690811379899,-2.30647020461549,0.512168710503335,1.04385805243083,3.92093658580867,-0.44517486680542,-8.47596094130776,-1.98857175287449,1.70499037824358,8.54526415823811,3.22328080505577,18.7467967032798,-13.5051855992713,20.6215377697634,-13.451106073688,-0.905109255937165,14.9965175602878,-5.03291654903319,-6.09043061659269,4.59949875514716,-24.2328625428005,-2.79713380667042,-6.88809518189136,6.01791859704545,8.44445177832265,7.41724955529413,-8.28637679350549,16.3193968937774
"SC164",-1.70109860259912,4.32724042901534,16.3172450720872,2.22749858107608,3.98562353737437,0.879549872617365,-0.923295482873331,1.19618435187069,11.4912932026103,6.38801943755166,-2.86915902348822,14.0515428427258,12.2506170594202,5.55551584198007,20.4357961456593,0.689729869856969,0.684380380559781,-29.988351309649,1.8782557041837,1.19541168668843,-3.51331732067059,-0.449709266462945,18.5210475999141,-1.31314015044877,-5.02911523553334,16.7459846567265,-4.57057988327484,3.32576329727119,-5.46575643036159,-3.61738375359385,-1.41886360509581,0.248502089341557,3.83259226532401,-2.05920621741988,-8.61244787905558,-3.57977708628131,1.64691998910894,9.00753729659436,2.91893153782202,18.3944614210935,-13.0115156518419,21.1429766407037,-11.8079829635317,-1.50148986073439,15.7218430455658,-5.47751209358669,-8.75709849866902,4.35726315421729,-25.6582246800171,-3.35002064994782,-8.8492362645483,5.81301773534091,7.99113116410719,5.04624175587983,-8.8702125143887,18.3497660304774
