"","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16","Z17","Z18","Z19","Z20","Z21","Z22","Z23","Z24","Z25","Z26","Z27","Z28","Z29","Z30","Z31","Z32","Z33","Z34","Z35","Z36","Z37","Z38","Z39","Z40","Z41","Z42","Z43","Z44","Z45","Z46","Z47","Z48","Z49","Z50","Z51","Z52","Z53","Z54","Z55","Z56"
"SC49",-7.30006876232948,9.92572760704665,33.129377772189,4.49883004564478,7.44598949018041,1.48843777217159,-6.00439695065552,1.43797917797195,22.6780739090565,9.17887945302408,-9.87407849976371,26.1218512826619,28.2649117062937,6.74932004613793,45.502338511056,-2.13704195354214,2.57784082440531,-73.9375464897248,4.39559351322954,1.76058626939011,-8.23286926914576,-6.05036439408514,38.4811893304395,-7.9509095475113,-17.8137764469727,34.7820138193149,-10.2512394070156,8.9806268509521,-13.6898664848472,-8.32931817970833,-4.36717706328737,1.95225589452012,9.12436283494434,-7.95952643777645,-21.2926974880873,-8.62783427330121,2.68915142523493,21.3910313013921,6.07418549080511,44.2270945339846,-31.4975581044605,47.3824853701386,-35.7243710960908,-4.55298639301483,33.2633751386664,-13.2388581385246,-18.900458780974,6.78983005403649,-63.835329452709,-12.6436024518752,-22.8268014775814,12.5146653742549,18.0186039966506,9.35798659880504,-26.4716335903857,41.2633472552514
"SC60",-2.90808107235216,8.67622172623685,26.3948991252884,4.66019059907017,6.92921527898057,-0.0713325500793125,-3.84919383605134,0.966533456802028,16.5972235788266,7.79419148449408,-6.49077742378551,19.8661519670015,19.8759279261429,5.36297226382447,32.5887671499411,-0.493963298133933,1.29747266013047,-51.9246920140946,3.87697436788277,0.0833233161896174,-5.97804880257801,-2.3155809426831,29.2128607618353,-5.05613922914473,-10.3474585672488,26.3795240073945,-7.3596231360775,5.34776389806388,-9.03962943920565,-4.47679435661871,-2.15857384166267,2.07051674833242,5.95424162743025,-6.6809790434073,-14.624996267813,-7.3757376120876,2.32306171865839,14.9219177689817,4.92485603357097,29.6968752968865,-22.6777380613791,32.6984957504881,-20.8105688167316,-2.19403347418231,24.7252629112151,-8.72522705393169,-13.4425818346358,5.75959859261034,-45.3363496407303,-7.67132199504202,-15.9111945322819,9.76697552535695,13.0465451554716,6.33133212026969,-18.1026726787942,30.6070522899939
"SC70",-4.80536793910651,8.84941346326666,27.9823081142069,4.29006399689055,6.85062658447641,-0.104807091609404,-4.28680437102731,1.95934304380382,19.5037662919532,8.20456566916416,-7.5008769058015,21.8259513669911,23.5961255184319,5.89521535097087,36.0214920462899,-0.761388577021904,1.86345114352891,-59.0123569654211,3.53094786755658,0.0800948407060277,-6.2275356019724,-3.23407890513762,32.8948683925557,-6.7363307292634,-13.5097944587724,28.9342506658918,-8.59307291139674,7.29430680259712,-10.7693752772678,-5.92949590844664,-3.39063586803983,1.71889358911307,6.6127964820959,-4.77280300981196,-16.5175632364181,-6.3062670074778,4.22710530123695,16.8705937128359,5.17738467623181,33.8526149711826,-25.7847201142399,36.4265155445784,-27.9004559541711,-3.2428457046439,27.1261225307892,-10.4494592611287,-14.8947924179095,5.6101651537532,-49.9664040827829,-9.34906692234929,-18.0331646988261,10.1454286206041,14.7472681805534,6.95613241357219,-22.3810357782108,33.5883576793404
"SC69",-4.52575501661866,9.38483314174823,31.1614210462913,3.66636718478893,7.89363836368353,-0.0476269955021634,-4.62056224371203,1.45401701579968,20.4069421018083,8.59641582240479,-7.78287947436644,24.7182011702976,26.4426911967599,5.16295899479065,41.883581997112,-0.0862577478017565,2.60069074677546,-66.0702776096989,4.4747617080065,0.0405909790103597,-7.02639580928219,-4.98775861569466,37.1438447187172,-7.53688070566687,-14.4872418191789,32.0759075124232,-9.48066482449589,8.12414417391911,-12.2126418272953,-7.90336059274254,-4.13756908884657,1.48734230235909,8.04790616689495,-7.33938608447774,-18.892899346576,-7.69852712760059,3.67710920974077,19.0956870366028,6.05527859697186,37.3684303880421,-29.639520852852,43.0128683584615,-31.6959296486722,-4.70798978550242,28.613371879497,-13.5981535156044,-16.6704808585027,3.50900157166635,-59.2885966398911,-11.6787260221755,-20.1372671734385,11.6603672308578,15.6942393856814,9.28702082071264,-25.1106269846225,38.5865953514279
"SC86",-6.14072286836717,8.87529905950032,32.9626366892185,3.05736936449787,7.06232988737937,1.10648762040113,-4.27991251837864,1.04958217338133,22.065447564168,9.08773928558695,-9.038577694407,25.9408887440219,26.815450861012,7.38000443189913,43.8517873303399,-1.67346079772504,1.85608603827568,-69.759065700729,3.07383204933934,1.65021922761286,-7.70811131946294,-4.4067207495613,38.7817865167511,-7.6450572120198,-15.7619758283136,33.272537457963,-10.1642947036419,7.30076836157405,-12.2969593085624,-8.90091645411329,-5.01629487883598,0.751978299141372,7.79440966269832,-7.03593775667657,-19.4852556719907,-8.41073894501942,2.63752790522301,20.2000800804408,5.76596543125901,39.7459157994706,-30.5131152889907,44.2444000047813,-30.7307655342108,-4.01939954943108,32.3954487614614,-13.952481780703,-19.0227542561354,6.99220175457308,-61.9321596074731,-11.6019365533022,-21.7955969657058,10.5125784587358,16.1498356406217,8.8805137237426,-23.9375868298098,38.9377729915053
"SC119",-3.34759366918844,6.84227096620703,23.3907262385407,3.18705868772815,6.15259395090199,1.03307644868343,-2.36404610339066,0.825996572040452,15.3606556800566,6.99114864108286,-5.55631956405224,18.5842857589227,18.7217830967644,5.7130246628907,30.5763142394687,-1.06965790898781,1.37580986547482,-47.8117147318433,3.76259566012601,1.7498924743976,-5.17076897409828,-2.73105998945504,27.2769667394335,-4.72839555543737,-10.7062927072609,25.8023604510803,-6.00806535154336,4.93004086287798,-8.52685634524718,-5.55991677260935,-3.0954467238166,0.361799366759234,5.30576777773639,-4.1634665916343,-13.0223733497817,-5.25945958488803,2.08048015090119,13.709795564709,3.41647954972403,27.5498369873733,-22.1473387986698,29.3799516216776,-21.2530210558876,-2.68979112326662,23.2701489565508,-8.91732357532693,-13.240597012131,5.70197703543905,-40.8950822693308,-6.84931652121458,-14.7785122776102,7.71626119097213,10.9744657109207,7.50265656444717,-16.2928695112465,28.547722328191
"SC185",-6.4556129463169,9.42749673481367,33.5544625528518,4.22474454443631,7.50278675316031,1.2755593498665,-5.3256024477674,1.09790085043443,23.0920680533269,8.79538228672384,-9.74447963280364,25.1591947261186,26.6170668412199,6.30769957174959,42.6979136710103,-0.988536616667576,1.70617340077914,-70.0593933696932,2.82076522117013,1.57544457822271,-7.71383970986248,-4.27767219738408,38.5551373603225,-7.82237285391307,-14.8580062477369,33.3043312536378,-10.3962493104136,7.00262735432064,-12.0931838420531,-7.99737776705086,-5.65319173102512,1.11246477054699,7.68663019291028,-6.42873903406905,-16.6094957768013,-8.04631596616143,2.96142811678232,19.1973197255588,5.28393012387979,36.9437516117861,-30.0763295052207,42.3697292429161,-27.1135133969292,-5.91814505180686,32.3970831884431,-11.8224898214937,-19.1458912058019,6.67990461122241,-61.0155240917057,-12.2224789416151,-22.1910382829431,10.4796748024948,16.9716847856135,7.19300333810734,-24.3944939643192,40.5989432712305
"SC188",-3.37532471400515,7.08881889598403,25.4025731303024,2.84700765890638,6.67645129366184,0.884022637260343,-3.32287878989674,0.537592457173789,16.6491627022593,7.45486241829986,-6.36890999437968,20.3731015738187,21.0089493498448,6.12497022489554,34.0283305736245,-0.500770034066789,2.15203674447028,-51.8650487320392,5.02634901230069,1.21592435136041,-5.05078775757949,-2.48950366138713,30.1169114011162,-4.62287920080502,-11.2139469993911,26.0879135352026,-7.76300108499141,7.06472176926752,-9.75471755985494,-6.26906793197752,-3.12579117113426,0.432106361198322,6.67184244244428,-5.04464790053285,-14.38447327945,-6.37912402442497,2.22576139910054,15.3444117812352,3.95025099219165,31.4760225762739,-22.8085474606622,34.3048013261893,-22.6685987252296,-2.76584067171214,25.426172444051,-8.88209928248659,-13.4004924441823,5.50054106856623,-45.7267979446528,-8.22256680206914,-15.9016793058707,8.8483918832102,13.2625558866802,7.32560960694064,-18.2258436858208,30.4755157473703
"SC189",-1.4831910700241,6.81394979832855,20.8284950282101,4.27360919672863,6.21984555911961,-0.154237331941076,-2.8273289825513,1.03014079587789,12.8728975002458,6.24610831304254,-5.00832447279937,15.6786411649566,16.8578642945938,4.88056147251478,25.4228120860332,0.517562517238993,0.94378740901045,-38.5205095771359,3.45005958738341,0.115835353631491,-3.90958628007032,-1.38385987598998,23.0640928359689,-2.3713149453506,-7.27618303888753,21.0249221711167,-5.70846917677174,5.32624643775373,-3.20639928728765,-3.49629203366544,-2.27675406308731,1.37389053160107,7.29739469962108,-3.35225424724686,-9.51225072562255,-4.73903951537735,1.92807016892572,11.4121231617458,4.22629812190672,22.3843688250558,-16.7392158357462,25.0859481938174,-13.865922093849,-0.687383568250114,18.8415410242474,-6.98369600293843,-11.3140362744161,5.72998193554506,-35.0057818634843,-4.3780148435212,-12.3019181535235,8.16204296591197,9.64476523314623,4.62063522983482,-12.414673637085,24.6310153681488
"SC159",-4.42264962187478,6.38192808123629,23.3677772949888,2.75612634628991,5.21211879571849,0.886765215043352,-2.81005342640433,1.33050096638091,15.2063717198472,8.39225834686349,-5.06039888659289,19.9038739290466,19.6550350356565,6.35768414067781,30.7049317552852,-0.0504129987722211,2.33371794207276,-47.8467415582362,2.71326471410573,1.31062105245177,-5.25671603659042,-2.18640339626087,27.6909556323589,-4.23593909458469,-10.6629334333186,24.3239966084939,-7.25172405328213,6.52902139491448,-9.36767879747865,-6.29434700575185,-1.74526891457654,0.920990078238071,6.05709829288934,-3.86960537043823,-14.0010109711143,-5.05717509145772,1.52372988837913,14.233382338454,4.44400454999597,30.1879318108228,-20.6906931568086,32.9121048137957,-23.9823855745485,-1.871969471816,21.0585887819854,-9.43229362189269,-10.9843900661773,6.30468842337839,-41.9906220551091,-6.02467286133255,-13.4301710359157,8.59292273938022,11.6570396133786,8.32609711920428,-16.3887322585783,27.8341049495482
