names	A_loading	corrs	color
C.6.DNAJB1	1	0.0304878511452644	Red
C.6.EGR1	1	0.113676130698772	Red
C.6.NFKBIA	1	-0.0217770365323317	Blue
C.10.PPP1R15A	1	0.35975664351412	Red
C.7.ATP1B3	0.410294295101252	-0.0239547401855649	Blue
C.10.TSC22D3	0.231041097145859	0.326220007254329	Red
C.6.CD9	0.210459472177958	0.0139373033806923	Red
C.10.CXCR4	0.18049913080685	0.132839922847224	Red
C.10.LMNA	0.161734180449238	-0.0461673174485433	Blue
C.10.DNAJB1	0.132949279368341	0.425523293841762	Red
C.16.SAT1	0.0341065611607439	0.541812668924413	Red
C.13.HES1	0.0239621270229153	-0.381969220777098	Blue
C.10.DUSP1	0.09816807281655	0.273955119576733	Red
C.17.MTND3	0.0202178549233656	-0.197735491713572	Blue
C.17.FOS	0.00197322079028944	0.108691043352893	Red
