"","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16","Z17","Z18","Z19","Z20","Z21","Z22","Z23","Z24","Z25","Z26","Z27","Z28","Z29","Z30","Z31"
"SC49",2.01354549464719,1.70402154688556,0.93964784155579,0.424768127683956,0.367067648975695,-0.728568429656286,0.573463729889086,-1.54790648285168,1.4908303621068,0.177876001695209,1.28452726301145,1.97228531741325,2.57591738383841,2.03254535005442,2.78418179594359,2.69508596669736,3.02370454279991,0.909752796695888,1.96648818052743,1.37925277499888,1.79588890811155,3.44839723105831,0.271305140221375,4.29514096694195,2.4030840980389,3.46257438900246,0.700884006313211,2.12548790122162,2.97294746638959,1.57019442020626,1.89959956615352
"SC60",3.29614209390374,2.04103413112063,1.30468364485551,-0.0029923863687254,-0.347016526869926,-0.847562915426894,0.873888398584657,-1.26106542729644,1.23483618847241,1.4742947125944,3.27315514552008,2.2814243835242,1.89679957149328,2.58907356366719,2.48926382152496,1.64962886364084,3.36921916781677,0.831623073500378,0.227969576055997,1.90447762352797,2.23648472195086,3.68958508718037,0.370006167952065,5.08235984964012,2.37459058631418,3.7987237172087,0.62627749036678,2.27387923564569,2.05901516419597,0.00337646426994429,1.81229635541443
"SC70",2.52155933915261,2.07860876437098,1.30532097035099,1.28114415112227,-0.34479525413827,-0.191801980649742,0.524531485434791,-1.20124474723261,1.27606007988016,1.40350972348043,3.29677489991268,1.84766898286465,1.76264344285922,1.78108854885057,2.52120914627623,2.47164721444385,2.99420060990787,0.543685583034043,2.16630818295433,3.41887919349753,1.6355572210382,3.3662573286587,-0.699474160565663,5.07449292520049,2.06924484663971,3.06598756191496,0.98432159384172,2.24246487316062,0.999099689105549,-0.0129364219316595,1.35681340175595
"SC69",3.90888951298983,2.31282959013224,1.75176267691425,0.809068826523603,0.442157866850097,1.16189626041583,0.701737152337864,-0.230008719193885,1.62877561127819,0.489280369554619,3.35506796001835,2.7780160659706,2.08280585070654,3.1979534678372,1.69374264764467,2.6476129838769,2.57674883661094,0.960602464414157,1.89801890864325,2.87330269743091,1.25546860201091,3.57101188352792,-0.427260593734082,4.93153655292829,0.705632373829445,3.38441788089797,-0.173257705818349,2.63274037056281,1.3906975549644,-0.0118492317821241,1.91292395687305
"SC86",2.5824610094744,3.24034062122096,0.365845309068398,-0.060656995322523,-0.219960316060568,-1.03784511862007,0.521083154248905,-1.31362788515157,1.11849691844522,1.0721629503248,3.61929134915544,1.45711768246363,2.12118983678675,2.35532230300078,3.67827470925021,1.65820283596249,1.93405012109722,0.857314904408739,1.85944510963831,1.89027896011978,2.47175311163081,3.62746691427299,-0.0455932771091325,4.40358221946064,2.51353809938882,2.38512036013413,-0.0317729445624534,2.35560792832178,3.44765742815541,1.35174241530573,2.03531690568897
"SC119",2.39637201191834,3.30138036961516,0.869885026270959,-0.313144259616483,-0.517050795982909,-1.27221965716677,0.693342777847556,-1.31066292741898,1.07282435446298,0.788907101980915,3.45501723248943,2.79624272622256,1.72317577914952,1.90277952295901,2.97795841035704,1.54415063185715,1.83225311258945,0.548096706531189,1.97550516041019,1.61748836584942,2.33466680952718,2.33426333279746,-0.564470317039565,4.07920527079215,2.44049841865278,2.43628664273889,-0.031044583034012,2.32282444069757,2.34320538905469,1.41869787618845,1.39137330023683
"SC185",2.21104869693049,2.16645150478929,0.687665362472151,0.255089920299449,-0.127089387005475,-0.657886350930345,1.28384542815903,-1.43418280026734,0.87422770843529,0.942432827811901,3.52771790077509,1.47129440225144,1.81350432232579,2.77533540824974,2.51540863463615,1.56131056994515,2.48080854957741,0.820064479201229,2.17374828381767,2.10106719549376,2.07489884669104,3.2929345845058,0.295087269138613,4.54044676222718,2.05154969499486,2.39404165064859,0.938288886803021,1.83365700920482,2.44347333633085,1.43521983806152,1.80331648795194
"SC188",3.11645979061272,2.93375135801403,1.38283102073359,-0.406446463214774,0.316733442291154,-0.196537852811948,1.07624702839322,-0.173022122739084,1.70581726765413,1.59231657813812,3.58859150711736,2.87081366687492,2.61606825238762,2.57576634987154,3.09807468838848,3.03769495169602,1.76670022164674,0.852267707228671,1.38451219715684,1.53696230223201,2.15786166044755,2.45391550929062,0.900280398101308,4.61999567260684,2.24280754431568,2.60156899853158,0.72581620864543,2.37043256807965,2.62624696612865,1.2225569454731,1.83727643377347
"SC189",3.07362381860935,1.94293032073474,1.3938930703538,-0.0363002857370235,0.0664868643821846,-0.391179712052658,0.785040946900249,-0.857921377010604,1.32849116535635,1.32886734076519,3.67965639092746,2.74314321154072,2.74915229177421,2.69207543798019,2.59403482819213,2.99055809008685,2.55153351808042,3.62401678021942,1.31691176171564,1.80819626101537,2.35330125532368,3.70629300281139,0.624621753264751,4.01493352402313,2.96885597405453,4.00862767317212,0.651231534601831,1.8120932991988,2.76848945264957,-0.00414266288100204,1.95589654352149
"SC159",1.56853810355112,2.85792539220619,0.599762496869753,0.545991379498206,0.316969167805148,0.316787686049514,0.733693467549,-0.380834323762168,1.01068289477056,1.71135395077075,3.29032885153371,1.36967838417378,2.60045264869498,2.27727427772676,3.53994867604479,2.63214867478606,1.58837341655007,0.514801723096109,1.88448246631918,0.763719681288072,1.6904510381337,2.9981508562907,0.213674131073794,5.41335522191004,3.39845597560584,2.62449555436022,0.191884970154506,3.21394784950462,3.2099819734364,1.09176608097529,2.00073753829222
