"","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16","Z17","Z18"
"SC49",2.40969885077488,0.315295220121135,-0.226127280336984,0.0227427936386022,1.63623288443534,1.4952542915049,0.350531182191028,2.09489399432884,0.9661765433026,1.00996736768046,1.23620121005138,2.91006065817124,-1.30917846454779,1.50798676941945,1.47169421822957,2.08114273638105,2.28299706493992,1.49631417772051
"SC60",3.74975511168244,0.605874372233532,1.01419243748936,1.83668891541177,1.83461820109959,1.5659557525648,0.19329096957179,2.31665353430639,0.891165980678099,1.33192352145863,1.11655345274184,2.91905323898392,-1.41826984309836,0.604383240388428,1.41314599407811,2.1513566836549,1.81130475327694,0.10466930395069
"SC70",2.91551143327933,0.260994909855631,0.964359181362472,2.03599929549849,1.66582904222591,1.4452957354535,0.537906105977084,1.98524037300873,0.599160896993753,2.70165256316891,0.920808831406929,2.56714359923581,-0.739199117962232,1.30358006384875,1.72810550458553,2.25921840595236,1.64888855449463,0.0741982792536684
"SC69",4.2306495842364,0.484210859880277,0.147557601847358,2.27576481715727,2.43590586950174,1.86941975219696,0.631161007329651,1.56367738662599,1.04117575316883,2.35772159838127,1.12566397840908,1.1248495132203,-1.04501016463284,1.61480363233645,0.94514062368028,2.55900777963124,1.40445433778601,-0.00487202402111769
"SC86",3.06950061446393,0.220113699600886,0.634818812804457,2.06431777444541,1.31364371151059,1.38367881658046,-0.0957940434500278,1.01067767760995,0.920710788058498,1.62008866197198,1.00431849404571,3.03020453849978,-0.0514570830637016,0.619704625202986,0.83298001560472,2.28139709733539,2.68053941771785,1.39577364769954
"SC119",2.85742782743191,0.373097925008271,0.289078064247845,1.89489890124949,1.66846648918631,0.135523612721412,0.456657576708514,0.910103199246876,0.612206045393994,1.42168150478406,0.643774958176608,2.98141814205264,0.137664912370678,0.546869314357661,0.944029503003379,2.34253669606632,2.03830821596381,1.41175946420425
"SC185",2.64506263371974,1.03814264838705,0.523390740016211,2.0643672528601,1.29384772320423,1.22621435259253,0.884537880901932,1.57786744485265,0.881936049373126,1.52660309633385,1.20962773396587,2.54930682026883,-0.290269475872125,0.605412359719105,1.65492443304355,1.86732615387368,1.93909897271838,1.54856696197849
"SC188",3.49868674610896,0.830511600672644,1.19429546692238,2.32757821714479,2.33311964275694,0.56530329782535,0.516734929819969,0.90358801087356,0.923197957409385,1.07983758581862,1.12198853833407,2.71203207132726,-0.289774456341467,1.94491233376002,1.7053867436053,2.33580416846687,2.36451003446969,1.32665619136284
"SC189",3.54165876694411,0.47875609243024,0.84535667424974,2.20210558827905,2.21182979255847,1.53073790394097,0.507354153330954,1.7305737923402,3.70128558374987,1.42354756264263,1.1121213682409,3.49143791516861,-1.83336865757391,1.66148375187304,1.31126797729392,1.78909339029036,2.23185115973821,0.0478074224708649
"SC159",1.94164999414452,0.479763222487449,1.354143100295,2.13356297256962,1.48947465600917,1.18958098322728,0.714275853894736,0.758621481723639,0.585021510208778,0.593266011643271,1.13784019899017,3.85990482585082,-0.288592140340606,1.5677927675831,1.13232692954066,3.16409756812351,2.72420288109623,1.15757515112163
"SC160",3.15636995787472,0.175592875749939,0.89707855495559,2.38422016004072,1.59596128015095,0.352555001590959,0.674759636264814,0.534808438729553,0.516584898384344,1.91871621335873,1.35352373921926,3.28003522657831,-0.211303892183829,0.910774778136524,1.05155001378531,3.26570983152155,2.29750676976957,1.14287792987124
"SC163",2.24860301763261,0.233943440006883,1.00827691949864,1.99150258538176,1.43658108856915,0.857094025327253,0.602805989707621,0.609499190623354,0.765799554587975,2.62637861251468,1.11594907105313,1.93393086165034,-0.201765646135447,0.444385704946119,1.8636287196691,2.30959966707784,2.59741353435651,0.129797111775152
"SC169",1.74867583662334,0.205331594876023,1.04601685262008,2.39629033970151,1.4673593486615,1.45946295728459,0.591296134185721,1.05103365088449,0.525081742995166,1.0042840462597,1.21632315182383,3.02695378504649,-0.396879321663149,0.406686317395101,1.53991819454216,3.3869533779246,2.57839834309381,1.33314230745511
"SC164",2.14894874296298,0.30269224906574,1.17334876289533,2.08084928463286,1.23229205410216,0.93084346840041,0.745403291608588,0.417023593054145,0.616787597435316,0.766368951113775,1.20450095604533,2.68238634078377,-0.0433262126514361,0.533007350851989,1.29070762090729,2.38033406677251,2.73548938833314,1.19545316749367
"SC184",2.74462822050972,0.451164130045454,1.20728745915787,1.91531348681589,1.68590660264514,1.74807646577557,-0.179034676727773,1.75650801805955,0.982841044778189,1.56127592352869,1.24231761245324,2.92917161045482,-0.491058794494326,1.17719929222497,1.49268556348152,3.38406128294176,2.35645091541729,1.58382614449821
"SC202",2.52465712285202,0.689026317173499,1.4062891596632,2.2001735177348,2.48701313253817,1.22757647982569,-0.0764682190162759,1.10373600568857,0.865674092616174,1.70889408571519,1.4021552922764,3.27003444962854,-0.536553723104527,2.50186606492844,1.5222241718172,2.48943894191364,2.63639750670389,1.38034734046662
"SC212",1.96441853877451,1.96145649076943,1.18070718269725,1.8978401808422,1.4235929009333,1.64941544373028,0.748332179633747,0.0842266081386895,1.33799656086239,2.19993589307236,1.32447885915861,1.28087274169293,0.119039709613132,0.263635422779413,1.65829439671568,1.89858560319898,2.76851258415982,-0.0102612314625943
"SC226",3.14455993059181,0.462180021274547,0.813570765986672,1.97770714664232,1.57934677159052,0.552328009103663,0.212846398014438,0.926293955942462,0.612250862387912,1.61979656297123,1.13423594235151,1.38906831900094,-0.912163580847196,2.14160923410367,1.32803754014972,3.11093475667506,2.5752644667681,0.154651342653538
"SC224",3.18072040606901,0.176517254077011,1.31100256340503,1.86375926022959,1.65643774882168,0.270499082004265,0.712028020097233,1.55815119859482,0.585222904613444,0.851281000706739,1.24871369315015,0.689058908776895,-1.41660537203486,0.551445332053575,1.24971480282534,3.00795598664642,2.56298591396878,1.41833123524199
"SC237",3.21692502180063,0.236154543624188,1.08403004355661,1.99076581428869,2.48050716972379,1.60557923071424,0.931604801025605,1.16921795474331,1.04656045681707,1.75996891461024,1.19014531186525,3.68106223653614,-0.902371508505223,2.48133388111563,1.99953983445067,3.38746278198434,2.54751070215375,1.39737712684463
"SC247",3.18364538005618,0.201815797206574,0.871963907864951,1.96697085003687,1.76052147479385,1.50183008018521,-0.263152645428803,1.27968630719639,1.17121640721646,2.05264090499385,1.17280062375672,3.66053836559513,-0.757732591955003,2.35107015886763,1.45323727666049,3.45168437414602,2.51230925270019,0.0458613546969459
"SC229",2.07881479071011,0.440739712936015,1.21498094233576,1.73818337156203,1.35588867197203,0.559954988634507,1.11606671791317,0.647013571411054,0.586284686102527,2.58565467486527,1.108263048532,1.26273711726831,-0.468275776811304,0.514258777832381,2.08779629889631,1.75940888563149,2.66539274827643,1.35428423381514
"SC230",3.52014823684807,0.276404363051821,0.0311120290758802,2.49827963319217,2.32903050848257,2.12961900076739,1.04292232545942,1.97674441145734,2.01169242318706,2.49873839808248,1.13697931660196,2.88967846586819,-1.16137721115515,2.25066509849091,1.79072546505031,1.76710155050881,2.01140976301443,0.0733702227679858
"SC240",4.55226212006917,1.24772423263068,0.507129621989144,2.4151092320195,3.2089347083299,2.05764478237086,0.633325863361357,1.38254329837334,1.16088897928223,1.88493804044482,1.13258973720384,3.92307012512355,-0.547228347721676,2.70040043783175,1.4321865370928,1.94757581314105,2.39804777572911,1.36249446436454
