"","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16","Z17","Z18","Z19","Z20","Z21","Z22","Z23","Z24","Z25","Z26","Z27","Z28","Z29","Z30","Z31","Z32","Z33","Z34","Z35","Z36","Z37","Z38","Z39","Z40","Z41","Z42","Z43","Z44","Z45","Z46","Z47","Z48","Z49","Z50","Z51","Z52","Z53","Z54","Z55","Z56","Z57","Z58","Z59","Z60","Z61","Z62","Z63","Z64","Z65","Z66","Z67","Z68","Z69","Z70","Z71","Z72","Z73","Z74","Z75","Z76","Z77","Z78","Z79","Z80","Z81"
"SC126",0.590389542912457,-4.11746600606455,2.37828223906056,-3.32530609235186,3.7320638753065,0.531836798589997,0.738165245441311,2.20791294709959,3.62024259113608,2.46308317406512,0.309867107192748,-8.85935822503411,5.31784591887842,1.99685310659018,-0.376784598985441,3.47651176798021,-5.13731995482949,1.14329056467468,-0.701577104611459,-3.67948054309592,4.06313191293561,8.87100166338555,1.84919471546322,2.94621480241841,0.500984146169294,6.90051002861158,3.85377029902867,-1.57586782015283,3.99805960355993,-4.94461776479838,0.648542943117283,0.77506190464731,-10.9388111219052,-5.78915740919438,5.64407311265781,1.59202247213572,2.84607735172228,-4.64222688313848,-1.63979097620927,-0.443865118071843,3.08632287171778,3.24353869604443,3.98628573179629,0.331100699811925,5.17194220295818,2.14351245764053,6.39028570763577,7.52804161462432,-1.77994900690353,-2.4477817458063,-0.864103556593262,2.824254105518,0.16091689765818,7.4659790082964,0.60858380195517,1.58689197439809,-0.453502630976238,3.32759835382206,11.1252896210027,3.33496853066963,-1.05887334376693,-0.90277753903006,3.834118298746,2.87682082002413,6.84193163808756,5.15580139409737,0.416920009564309,1.52135387307766,0.696290760101031,-1.65958429992862,3.75760679024264,-0.927245602665225,-0.418025808755384,7.61565229130931,-0.148187749585547,6.24737647944084,0.60737091382666,3.01616222046565,2.06986209634995,3.48279289431617,0.300021680708564
"SC198",0.378448229390816,-6.08204732974066,2.84489887219514,-2.94492870839036,3.62160675663329,0.832684923317719,0.538139171481619,2.57039856388217,3.7928891649955,0.574961335856883,-0.188761986066281,-10.3001212332644,6.4515584710621,3.83945620505509,1.091441729453,4.22214419992709,-5.50550069279338,1.56703964123368,-1.53098063501405,-3.37780274924417,4.68250993741626,10.8218067661793,1.7713365108662,2.27609996907778,0.0121418760536084,8.13694677952639,4.98932016091677,-2.61249997535105,4.02716640862198,-6.88819756668978,0.103474789015231,-0.508195905147121,-14.5154491052391,-8.33334920549286,7.39506146252878,2.45131363524537,2.74972221405205,-4.79689148458423,-1.4409176531488,-1.20039815793122,4.73623685503171,3.45166292901355,3.44857039019871,-1.67196115500517,5.04841478105879,-0.177679236137998,9.47088408076586,8.49835371567949,-0.236878776643802,-4.15767817146688,-0.202288738069859,6.01870497155619,-0.139737401287685,8.24947634505172,0.562740588987255,1.03815844274504,0.380866732755579,3.06975900243089,13.5850979802346,2.37565432872411,1.86604624326702,-3.16236486198184,3.05451763518337,0.358936118172756,7.84259272971063,5.20295399809604,0.726470403734258,2.4418387359606,0.453430343253485,-3.30519390932043,4.27965589818823,-1.49610244456361,-1.05027687807043,7.06802862032537,-1.41670474901577,8.02029611913312,-0.540857859760558,3.62677552330183,3.11985876661925,4.13205797999672,0.0717818969607338
"SC246",0.612048644809222,-2.91755075237124,2.37045360490795,-2.63774403679782,3.2441796231059,0.5854350791863,0.67865226624279,2.19582798352515,3.99402996786403,1.60087545594772,0.618805571455055,-5.27813619732395,5.36668745003295,2.97030491278253,0.778554274019453,2.64646570834207,-5.19829026806622,0.549214130459472,0.215684836199909,-3.25332908449805,3.93558605174095,8.21235262452411,2.18530541490977,3.14782700972524,0.961656272455759,5.53074295186743,3.75827353476661,-0.158522898444295,3.69516185454653,-2.70076625869202,1.92595399621028,1.61603119499729,-8.12859988438281,-4.23893382918425,6.6462751356477,2.65121116178996,2.04902521237968,-2.18793721008147,-0.0152041202792031,0.049461523718409,3.1884559716997,3.18645093582996,3.59881703413757,1.27614572823675,4.76392717648883,3.15071654134896,6.05822832479213,6.48648502518897,-1.11459392049805,-1.26942376536154,0.509567050465312,4.54826872212079,-0.00020602983361119,6.42159707566993,1.43978059542658,1.96850544650806,0.451541354758121,2.1244436574458,10.273008852678,3.62946700876384,0.775317183729714,-0.79324016278162,3.94585848186536,2.12627547243131,5.6593574894991,3.80350858835385,0.520301963804532,2.05367139284479,0.133156029059624,-1.36454000328497,3.48559502468237,0.294434216606039,-0.0186458512425624,5.32916536315643,-2.18014149134431,5.36397084425155,0.101644502521045,2.34823294828477,2.41116822022271,2.86714303915753,0.421083290207116
"SC259",0.19979510452758,-5.44345746929968,2.46538112021466,-3.83458167252901,4.1705106182382,1.19914401940543,0.493114203804945,1.93654696827308,3.85408871025262,2.09245646578186,-0.0397883588830911,-8.60990348466544,6.47930493178944,1.4972679729115,-1.3087534558719,2.71343929904526,-5.67852319805706,1.50873618492559,-1.36713234391935,-3.28429540576083,4.61199910535887,9.6734649351258,1.87736063672477,2.72027531120629,-0.554438663710366,8.34213295145067,3.92294810099934,-2.05148676918636,3.31677658713136,-7.7561015263595,0.152941483555304,-0.314464818707477,-15.5613709973094,-6.89222468360111,8.2563705862715,3.20210350545736,3.46338046042919,-4.33415155967529,-2.3334379933882,-1.15722166874249,4.45821456839181,3.49245184709583,3.68860492314018,-0.123970331709637,5.40497610958974,1.22850594720784,9.48209413523177,7.20513916486569,-0.338606218561065,-3.77672696676992,0.377280778270102,6.27357764161447,-0.0832969791308081,8.24599505750064,1.48825657649881,1.34375337316688,-0.200706359620688,3.59509366168469,12.4949247807047,2.10192580485637,2.32824263239756,-3.14337888398466,2.32000987955447,1.81411181843051,5.88833261321823,3.62074780281685,0.749903849160272,1.89828832234519,-1.03310484777416,-2.51144974008599,4.12410789633415,-2.13992950016201,-1.90749872363311,6.57309019036877,-3.2772978411512,7.35829903337168,-0.317754673672779,3.60314531600011,2.78300737284754,2.18962972600633,-1.41962433444329
"SC144",0.490262406913701,-2.77149680467796,2.48359556453001,-2.6846143037703,4.42452724313194,0.335100151931294,0.599122285226011,0.805204007040281,3.40195751644836,1.72401726429242,0.119563664271228,-7.99392422746155,4.53971436981988,1.86603438807089,0.16735059484167,2.19212875085071,-3.82292935019063,0.818753842952411,-1.00668590033748,-3.6182123379599,3.44541033460209,8.63000604754837,2.05755030804245,2.87198484368698,0.911970593263119,5.91433318477252,2.7542320307474,-2.01663566305287,3.47785898986365,-3.36354141287241,0.748456248179603,0.377407170196784,-9.34567223317617,-5.85831773606454,4.89601480990421,2.97981274674519,3.20747229407437,-2.19656314566691,-0.803429216131365,-0.0370250133577237,2.80203420991642,2.51031703858617,4.24409680862496,0.815681256143624,4.87641709472751,2.41521765701498,6.3748406968906,7.23803349566975,-0.544653395138681,-2.15981320477671,-1.87822719666948,2.51017833367032,-0.0637692643735793,6.36914342858587,-0.230348269774436,1.62086360661929,0.22851682767455,2.29985548836959,10.7575613538779,0.777913777763648,-1.73710657721607,-3.27938238509813,1.36608627187889,1.56249695242501,5.68175272062401,4.41239973630888,0.174478548200895,1.35634411762362,1.15353522208265,-1.54478318070993,3.79676975810342,-0.231628366769669,-0.0589946413595475,7.23124305603257,-0.374819567954616,5.31810085720968,0.127604554316826,2.86659249791457,2.07068214731187,2.80803404455209,1.23239649482241
"SC300",-0.407916167368008,-8.19154802473137,1.70890431073969,-6.7955950463938,4.83766194036101,1.02056013585997,0.186356317813261,1.87561073667735,4.75412923028853,0.767357143289188,-1.10396224516957,-12.6139140617666,7.39386721732368,1.88550996978514,-2.45348288148727,3.9981803999698,-7.30252282956666,0.417147196834065,-2.88803261336286,-5.27282401084637,4.63170990956821,12.1323766786999,1.34388258338042,2.6296664187502,-1.7769805047722,10.6685638172524,4.75700402383319,-4.78788257085626,3.73354932141659,-11.1999053587784,-0.223436085695599,-2.62643911355593,-22.1783358564253,-10.7955343704445,10.4464081538099,3.30828494196008,3.39803150622891,-6.88884640297739,-4.17667326120964,-2.42040535974012,3.82328814989666,4.20223918870945,4.38648707781639,-1.1051384122539,6.08442069759515,0.53443704137983,12.435248473588,9.77711360476698,-1.29142944111637,-6.2883219246028,-0.702372992787315,7.59868935747034,0.2017988453634,10.1757616057341,0.437531994839483,0.745160900558088,-0.861565081647373,4.65517070897123,16.9926049534558,1.85237154140429,1.18997361167742,-5.53034582009461,2.54199450622374,2.09424909059422,8.77386859592196,6.22099256083377,0.365206083005755,1.19625164950133,-0.532621789621271,-4.43761781382136,4.88931767554001,-3.98768773093227,-1.42363045222583,9.86246159709654,-2.55835062559601,11.3183456031616,-1.24784048357734,3.73771547383471,3.4639346760076,3.12640978317813,-2.08881620950127
"SC260",-0.292849051283054,-13.8776887483258,2.54144717377629,-6.2992214249684,5.05507893006184,2.28984506623809,-1.47330999709144,1.94529313482344,4.65559695405463,2.3118011195752,-3.29089251092554,-18.5205384089236,7.56887368257164,4.82526453279214,-4.14863504822882,5.20610536603694,-9.71903712655537,-0.532784322523419,-4.6625769359925,-7.51233245781479,5.05744924690952,14.7636338135531,1.06972139839795,2.43966289697444,-4.94657266422048,13.2688468235495,3.89257060484748,-7.69868945883814,4.32429758530463,-17.2398115222921,-0.490232728184987,-1.53751267948594,-29.8602537867084,-13.585406874331,13.5156533099587,3.20802136441855,4.13440216281736,-10.1815912931502,-4.89994994409498,-4.17339071965408,6.80247979900956,4.57087839943506,3.58668453663084,-3.97400754876071,6.88787812065818,0.428811664913399,16.0769191227544,10.4955679748034,-1.85395585857553,-9.72440830270338,-3.04398627693871,8.42442801140909,0.0603295315895605,9.87281670944738,-2.58001926899885,-2.02641101170789,-2.96315079772269,5.88654641153848,19.7205535236253,4.66340573633061,-0.457844525819838,-7.31214927561401,4.51928156461112,2.99262462558222,10.4078520314972,6.29880875490185,0.250022164919803,1.86213364851203,-2.28072964930191,-6.48726972730734,5.11650516586355,-7.95938966809229,-0.466664485034399,10.8480047588137,-5.21704788791931,11.6355060386188,-2.27104248364731,4.29357900679442,3.37996413797316,5.77345963173502,-1.42035982219526
"SC222",0.208706266091774,-8.24042051465067,2.569631465448,-5.91286660190386,5.10214750516744,0.941300106962953,0.325206676047578,2.54223203684408,4.46170079612001,1.89865284796123,-0.815446017422377,-12.4437340893409,7.57901727356931,2.56112585865529,-1.90982276050293,4.05475184307434,-7.37286643157411,1.03987253150944,-2.54497362421455,-5.11549644050503,4.67043993953975,11.7361164345493,1.92554362543214,2.94542664260944,-0.971113344977397,10.4925703227932,5.30191825979772,-4.03130103060511,4.34569482223369,-11.0623670933209,-0.692017985915068,-1.04547426954805,-22.5077373260654,-8.7265746842668,10.581604904378,2.9840907347637,3.20797991061868,-6.57546866533678,-3.95998009374945,-2.56515290536119,3.90811407849956,2.80205929876123,5.1051869409311,-1.11979413481085,5.66074153431733,0.304967458543596,9.84751837728802,6.84870847835657,-2.8254153733049,-7.33172460368187,-1.52842616970628,6.51707074787519,-0.0773242429950015,10.624661840309,-0.6837486737393,0.794785501628847,-0.710404145634695,4.0903661256893,16.6660040520594,1.52250498507294,1.60809087379828,-4.48257485194424,2.32577863526666,2.38091638920338,8.40739760992633,5.3813248376687,0.308492183669256,1.76749166861142,-0.750293588649516,-4.26517541059038,4.98548192091498,-3.95656396434235,-0.562024354270016,9.41233680895044,-2.74131764055069,7.78076933350154,-2.60365564824864,2.0022699862725,1.80918571414958,3.88331892519508,0.0262053805398126
"SC266",0.468655374028563,-8.99229265940681,2.33903830003629,-4.72926295687023,3.68688046284,1.44176140132442,-1.00481068806246,1.51915509952183,3.98111255304054,2.98281483374232,-0.931163698565192,-11.5322434912009,6.06398176254012,4.03080271848575,-2.22784962192162,3.4090241359473,-6.06640951511111,0.495812993359381,-1.51280612779865,-4.72111936228648,4.52693672449755,11.8922954820866,1.26099466903616,2.36363334714277,-2.56148042177344,9.81501487800864,4.27921645641158,-4.32024432108498,3.85524088552534,-9.5750633913728,-1.27290323597799,-0.88562036954947,-21.1690140350013,-9.94215103040356,10.2817620093844,3.48734517165642,3.89903197333675,-5.99476703060412,-3.69385565745049,-1.90041585517531,4.06644247151251,2.92316841522686,1.50494922058112,-2.75349163472648,5.46335536829053,0.270256663134927,12.1372063380131,8.85287456531329,-0.759239708007157,-5.78610143327239,-0.972745983491521,7.16256248463094,-0.156360838440622,8.73624301942218,-2.00264458000758,-1.27319852036457,-0.63543576580739,4.08844444709469,16.3959283401941,4.02423890198202,1.26462607170106,-4.50476194204923,3.73384459666391,2.07348238621707,7.96981193020722,4.34172100348183,0.842472059637047,2.00427941011167,-0.485214290394534,-5.71485462045936,3.70833049839902,-3.90453453220384,-2.46397087670253,7.11202000303527,-3.07496670087638,6.67901417355939,-2.51741580297139,2.18328772237892,1.77293447919096,4.01235427671142,-0.728670446729081
"SC267",-0.990394003306742,-5.35806787284817,2.92858586666247,-3.85512145860982,4.36390276555202,2.01051506475555,-0.683285459437828,2.39986665717643,4.13460486251092,0.228232656218592,-0.158796077972395,-8.17486392201789,5.5181578364211,3.79774360732522,-0.906380627014175,3.36482636508013,-5.27883197138364,0.823038073592057,-1.00925060304876,-2.99152526799346,4.36769838635577,9.9862757139993,2.07144508509996,2.56683820402709,-1.59113469342312,8.09310885508638,4.09289992739223,-1.99813223107322,2.74604163398859,-7.29895477872187,-0.196470130886693,0.499524488475821,-15.3719745434868,-6.05122244627313,8.75069456585936,3.13781901670604,3.11021715982419,-3.74152286460634,-3.31064487371541,-1.84396261793659,5.20645525374464,3.31382160207064,3.38620818169091,-0.0671106181354338,5.06807416043415,2.25737295997408,10.0885037443164,7.32618929836316,-0.0500825782710613,-2.94068454050544,0.435719237966976,5.93867835628455,-0.350307206683109,7.8751443445721,1.41159710350449,0.324270858516009,-0.183600568939603,3.36087388020168,12.6071434073433,4.31278420464772,0.722583112126537,-1.90515550077299,3.50077205415962,2.91989416442121,6.52574501586643,4.99148844114049,0.94751242210295,1.6978498336308,0.742605584179878,-2.94016826951698,3.90485773305973,-2.72069483279137,-0.106905205686219,6.1942289717032,-3.51435711950429,7.5237430466099,-0.110179384038596,3.97174223556573,2.43567605815596,2.15979311257392,-1.45246335656665
